rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
317;Jakob Silfverberg;ANA;R;52;10;13;23;20;13;33;2;1;2;4;1;0
318;Steve Ott;BUF, STL;C;82;9;14;23;18;14;32;-38;6;0;0;1;0
319;Marc Methot;OTT;D;75;6;17;23;12;17;29;0;0;0;0;1;0
320;Vernon Fiddler;DAL;C;76;6;17;23;12;17;29;3;0;0;0;1;0
321;Johnny Boychuk;BOS;D;75;5;18;23;10;18;28;31;0;0;0;1;0
322;Danny DeKeyser;DET;D;65;4;19;23;8;19;27;10;1;1;2;0;0
323;Patrick Wiercioch;OTT;D;53;4;19;23;8;19;27;-1;3;0;0;0;0
324;Zack Smith;OTT;C;82;13;9;22;26;9;35;-9;0;1;2;4;0
325;Marty Havlat;SJS;R;48;12;10;22;24;10;34;14;1;0;0;2;0
326;Alec Martinez;LAK;D;61;11;11;22;22;11;33;17;3;0;0;2;0
327;Kris Letang;PIT;D;37;11;11;22;22;11;33;-8;6;0;0;1;0
328;Tyler Myers;BUF;D;62;9;13;22;18;13;31;-26;3;0;0;0;0
329;Michael Raffl;PHI;L;68;9;13;22;18;13;31;2;0;0;0;3;0
330;David Moss;PHX;R;79;8;14;22;16;14;30;-1;0;0;0;1;0
331;Patrick Dwyer;CAR;R;75;8;14;22;16;14;30;-2;0;2;4;2;0
332;Zemgus Girgensons;BUF;C;70;8;14;22;16;14;30;-6;0;1;2;1;0
333;Alexander Edler;VAN;D;63;7;15;22;14;15;29;-39;4;0;0;0;0
334;Andrej Meszaros;PHI, BOS;D;52;7;15;22;14;15;29;5;1;0;0;0;0
335;Andrei Loktionov;NJD, CAR;C;68;7;15;22;14;15;29;-2;2;0;0;2;0
336;Dan Hamhuis;VAN;D;79;5;17;22;10;17;27;13;0;0;0;0;0
337;Thomas Hickey;NYI;D;82;4;18;22;8;18;26;5;0;0;0;0;0
338;Radko Gudas;TBL;D;73;3;19;22;6;19;25;2;1;0;0;1;1
339;Sergei Gonchar;DAL;D;76;2;20;22;4;20;24;-12;1;0;0;1;0
340;Eric Nystrom;NSH;L;79;15;6;21;30;6;36;-25;0;1;2;1;0
341;Justin Fontaine;MIN;R;66;13;8;21;26;8;34;6;1;0;0;1;0
342;Paul Gaustad;NSH;C;75;10;11;21;20;11;31;-6;0;0;0;0;0
343;Elias Lindholm;CAR;C;58;9;12;21;18;12;30;-14;4;0;0;2;0
344;Michael Stone;PHX;D;70;8;13;21;16;13;29;-10;2;0;0;1;0
345;Boyd Gordon;EDM;C;74;8;13;21;16;13;29;-15;1;1;2;1;0
346;Gregory Campbell;BOS;C;82;8;13;21;16;13;29;1;0;1;2;2;0
347;Paul Byron;CGY;C;47;7;14;21;14;14;28;6;2;1;2;1;0
348;Sami Vatanen;ANA;D;48;6;15;21;12;15;27;9;2;0;0;0;0
349;Ryan Murray;CBJ;D;66;4;17;21;8;17;25;4;3;0;0;0;0
350;Dennis Wideman;CGY;D;46;4;17;21;8;17;25;-15;2;0;0;0;0
351;Darren Helm;DET;C;42;12;8;20;24;8;32;2;1;2;4;3;0
352;Jannik Hansen;VAN;R;71;11;9;20;22;9;31;-9;0;1;2;3;0
353;Rob Klinkhammer;PHX;C;72;11;9;20;22;9;31;6;1;0;0;1;0
354;Nikolai Kulemin;TOR;L;70;9;11;20;18;11;29;-4;0;0;0;4;0
355;Shawn Horcoff;DAL;C;77;7;13;20;14;13;27;1;4;1;2;0;0
356;Pascal Dupuis;PIT;R;39;7;13;20;14;13;27;6;0;0;0;0;0
357;Kyle Chipchura;PHX;C;80;5;15;20;10;15;25;3;0;0;0;0;0
358;James Sheppard;SJS;L;67;4;16;20;8;16;24;3;0;0;0;0;0
359;Jordie Benn;DAL;D;78;3;17;20;6;17;23;16;1;0;0;0;0
360;Cal Clutterbuck;NYI;R;73;12;7;19;24;7;31;-9;0;3;6;1;0
361;David Booth;VAN;L;66;9;10;19;18;10;28;1;0;0;0;0;0
362;Jonas Brodin;MIN;D;79;8;11;19;16;11;27;0;3;0;0;0;0
363;Dmitry Kulikov;FLA;D;81;8;11;19;16;11;27;-26;2;1;2;0;0
364;Marcus Foligno;BUF;L;74;7;12;19;14;12;26;-17;0;1;2;3;0
365;Brendan Smith;DET;D;71;5;14;19;10;14;24;-2;1;0;0;0;0
366;Nathan Horton;CBJ;R;36;5;14;19;10;14;24;-3;2;0;0;2;0
367;J.T. Brown;TBL;R;63;4;15;19;8;15;23;-9;0;0;0;0;0
368;Matt Irwin;SJS;D;62;2;17;19;4;17;21;5;1;0;0;0;0
369;Jakub Kindl;DET;D;66;2;17;19;4;17;21;-4;0;0;0;0;0
370;Jimmy Hayes;CHI, FLA;R;55;11;7;18;22;7;29;-5;3;0;0;0;0
371;Chris Kelly;BOS;C;57;9;9;18;18;9;27;2;0;1;2;0;0
372;Derek MacKenzie;CBJ;C;71;9;9;18;18;9;27;0;0;2;4;0;0
373;Daniel Paille;BOS;L;72;9;9;18;18;9;27;9;0;1;2;1;0
374;Nikita Kucherov;TBL;R;52;9;9;18;18;9;27;3;3;0;0;3;0
375;Jesse Winchester;FLA;C;52;9;9;18;18;9;27;-2;1;0;0;2;0
376;Viktor Stalberg;NSH;L;70;8;10;18;16;10;26;-14;0;0;0;1;0
377;Colin McDonald;NYI;R;70;8;10;18;16;10;26;-22;0;0;0;0;0
378;Ryan Strome;NYI;C;37;7;11;18;14;11;25;-1;4;0;0;1;0
379;Brian Boyle;NYR;C;82;6;12;18;12;12;24;1;1;0;0;1;0
380;Dominic Moore;NYR;C;73;6;12;18;12;12;24;0;0;1;2;1;0
381;Ben Lovejoy;ANA;D;78;5;13;18;10;13;23;21;0;0;0;2;0
382;Mark Arcobello;EDM;C;41;4;14;18;8;14;22;-7;1;0;0;1;1
383;Travis Hamonic;NYI;D;69;3;15;18;6;15;21;2;2;0;0;0;0
384;Andrew Ference;EDM;D;71;3;15;18;6;15;21;-18;0;0;0;1;1
385;Karl Alzner;WSH;D;82;2;16;18;4;16;20;-7;0;0;0;1;0
386;Matt Bartkowski;BOS;D;64;0;18;18;0;18;18;22;0;0;0;0;0
387;David Jones;CGY;R;48;9;8;17;18;8;26;1;2;0;0;1;0
388;Joakim Andersson;DET;C;65;8;9;17;16;9;25;-11;0;0;0;1;0
389;Jeff Petry;EDM;D;80;7;10;17;14;10;24;-22;1;0;0;0;0
390;Jan Hejda;COL;D;78;6;11;17;12;11;23;8;0;0;0;0;0
391;Brenden Dillon;DAL;D;80;6;11;17;12;11;23;9;0;2;4;1;0
392;Jamie McBain;BUF;D;69;6;11;17;12;11;23;-13;2;0;0;0;0
393;Christopher Tanev;VAN;D;64;6;11;17;12;11;23;12;0;1;2;2;0
394;Colin Greening;OTT;L;76;6;11;17;12;11;23;-15;2;0;0;1;0
395;Braydon Coburn;PHI;D;82;5;12;17;10;12;22;-6;0;1;2;2;0
396;Derek Morris;PHX;D;63;5;12;17;10;12;22;-2;0;0;0;0;0
397;Brian Gibbons;PIT;C;41;5;12;17;10;12;22;5;1;0;0;0;0
398;Justin Braun;SJS;D;82;4;13;17;8;13;21;19;1;0;0;1;0
399;Francois Beauchemin;ANA;D;70;4;13;17;8;13;21;26;1;0;0;1;0
400;Eric Brewer;TBL;D;77;4;13;17;8;13;21;10;0;0;0;2;0
401;Sami Salo;TBL;D;71;4;13;17;8;13;21;11;0;0;0;0;0
402;TJ Galiardi;CGY;L;62;4;13;17;8;13;21;-13;0;1;2;0;0
403;Tyler Kennedy;SJS;R;67;4;13;17;8;13;21;-10;0;0;0;1;0
404;Carl Gunnarsson;TOR;D;80;3;14;17;6;14;20;12;0;0;0;1;0
405;Marco Scandella;MIN;D;76;3;14;17;6;14;20;10;0;0;0;1;0
